Date (DD/MM/YY),Time,Recorder,Specimen ID,Longitude,Latitude,Fokontany / PN,Species,Altitude (m),Circumference of trunk (m),Height (m),Height approximated? (Y/N),Soil,Surrounding vegetation,Bark stripping (Y/N),Bark stripping observations,Bark stripping factor,Bark etchings,Footholds,Marary (Y/N),Marary observations,Marary factor,Leaves (Y/N),Flowers (Y/N),Fruit (Y/N),Near village?,Near cliff face?,Near other baobabs?,Hollow trunk?,Notes
05/07/23,10:27 AM,KVP,BF21,-22.05358,43.28791,Ambalorao,grandidieri,2,10.38,6,N,sandy soil,"lombiry, sasave, laro, famata, komokomoke, nonoke",Y,small but deep holes,2,Y,Y,N,NA,0,N,N,N,N,N,Y,N,nonoke is in holes in trunk
05/07/23,10:33 AM,KVP,BF22,-22.05362,43.2877,Ambalorao,grandidieri,4,6.28,5.27,N,sandy soil,"komokomoke, laro, tsipapolahe, sekatse",N,NA,0,NA,Y,N,NA,0,N,N,N,N,N,Y,N,bumpy bark
05/07/23,10:34 AM,KVP,BF23,-22.05366,43.28768,Ambalorao,grandidieri,2,7.74,5.24,N,sandy soil,"laro, komokomoke, tsipapolahe",Y,kely,1,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,
05/07/23,10:38 AM,KVP,BF24,-22.05364,43.28761,Ambalorao,grandidieri,5,6.15,4.54,N,sandy soil,"komokomoke, tsipapolahe, laro",N,NA,0,Y,Y,N,NA,0,N,N,N,N,N,Y,N,lichen on trunk
05/07/23,10:47 AM,KVP,BF25,-22.05362,43.28755,Ambalorao,grandidieri,3,6.67,7.27,N,sandy soil,"komokomoke, laro, sasave",N,NA,0,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,
05/07/23,10:50 AM,KVP,BF26,-22.05369,43.28749,Ambalorao,grandidieri,2,9.06,6.4,N,sandy soil,"sasave, komokomoke, boy, laro, tsipapolahe",N,NA,0,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,
05/07/23,11:11 AM,KVP,BF27,-22.05371,43.28737,Ambalorao,grandidieri,0,11.13,7.37,N,sandy soil,"komokomoke, sasave, laro",N,NA,0,NA,Y,Y,kely (small yellow patches),1,N,N,N,N,N,Y,N,
05/07/23,11:14 AM,KVP,BF28,-22.05375,43.28728,Ambalorao,grandidieri,-3,10.05,6.45,N,sandy soil,"komokomoke, laro, sasave, taotao",Y,small holes near base,1,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,
05/07/23,11:17 AM,KVP,BF29,-22.05381,43.28735,Ambalorao,grandidieri,-3,8.22,7,N,sandy soil,"sambaratoake, laro, komokomoke, sasave, boy, tsipapolahe, varondolo",N,NA,0,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,
05/07/23,11:21 AM,KVP,BF30,-22.05376,43.28746,Ambalorao,grandidieri,-2,8.7,6.9,N,sandy soil,"komokomoke, laro, tsipapolahe, sambaratoake",Y,"small, stripped from base",1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,lichen on branches
05/07/23,11:29 AM,KVP,BF31,-22.05381,43.28753,Ambalorao,grandidieri,-4,3.99,5.7,N,sandy soil,"laro, komokomoke, sekatse, hazondrano, boy, fandriandambo",Y,shallow but wide area + deep hole (0.80m x 1.45m x 1.2m),3,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"pic of Christelle sitting in baobab chair from this tree, back to back with BF32"
05/07/23,11:29 AM,KVP,BF32,-22.05381,43.28753,Ambalorao,grandidieri,-4,3.6,4.5,Y,sandy soil,"laro, komokomoke, sekatse, hazondrano, boy, fandriandambo",Y,vertical bark stripping,NA,NA,NA,N,NA,0,N,N,N,N,N,Y,N,back to back wiht BF31
05/07/23,11:39 AM,KVP,BF33,-22.05391,43.28769,Ambalorao,grandidieri,-5,8.22,5.6,N,sandy soil,"sekatse, komokomoke, laro, tsipapolahe, sono",Y,some bark holes (very small) but not extensive,1,NA,Y,Y,maro (coffee stain pattern all along bottom),3,N,N,N,N,N,Y,N,
05/07/23,11:47 AM,KVP,BF24,-22.05396,43.28774,Ambalorao,grandidieri,-6,10.8,5.2,N,sandy soil,"sono, boy, laro, komokomoke, tsianbarakoa, sekatse, tsipapolahe",Y,small cave hole,3,NA,Y,Y,kely (small patches),1,N,N,N,N,N,Y,N,"trunk looks tired (slumping), sono growing right up next to trunk, pic of Felicia inside cave"
05/07/23,NA,KVP,NA - BF MATY2,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,sandy soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near BF34"
05/07/23,11:49 AM,KVP,BF35,-22.05416,43.28753,Ambalorao,grandidieri,-5,8.7,6.45,N,sandy soil,"sekatse, laro, sono, sakoa, komokomoke",Y,"lots (shallow, bottom to 1/3 or 1/2 of way up trunk, all around trunk)",3,NA,NA,N,NA,0,N,N,N,N,N,Y,N,
05/07/23,NA,KVP,NA - BF MATY3,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,sandy soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near BF35"
05/07/23,11:55 AM,KVP,BF36,-22.05408,43.28753,Ambalorao,grandidieri,-5,1.64,4.4,N,sandy soil,"laro, sono, sakoa, boy, sekatse, komokomoke",Y,enough to make tree look very thin,3,N,N,N,NA,0,N,N,N,N,N,Y,N,"have pics of this tree, cores are perpendicular, corer went in around 0.28m for core 2"
05/07/23,12:25 PM,Christelle,BF37,-22.05419,43.28757,Ambalorao,grandidieri,-2,11.6,6.06,N,sandy soil,"lombiry, laro, hazondrano, vantango, sekatse",N,NA,0,NA,NA,N,NA,0,N,N,N,N,N,Y,N,one big branch coming out the side
05/07/23,12:33 PM,KVP,BF38,-22.05437,43.28733,Ambalorao,grandidieri,-2,5.2,4.24,N,larger rocks (limestone),"laro, lombiry, kantsakantsa, fatipatike",Y,tiny patches of fresh bark stripped + large area of less recent bark stripped,3,Y,NA,N,NA,0,N,N,N,N,N,Y,N,nearby goats (can hear them)
05/07/23,12:36 PM,KVP,BF39,-22.05444,43.28739,Ambalorao,grandidieri,-1,10.65,6.08,N,sandy soil,"laro, lombiry, fatipatike, vahamainty, kisirasira, sasave",Y,"large area (my height, more than one hand deep, more than my wingspan)",3,NA,NA,N,NA,0,N,N,N,N,N,Y,N,
05/07/23,12:41 PM,KVP,BF40,-22.0545,43.28764,Ambalorao,grandidieri,-2,6.87,5.48,N,sandy soil,"sasave, lombiry, laro, hazondrano, komokomoke",Y,kely,1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,next to BF41
05/07/23,12:43 PM,KVP,BF41,-22.05448,43.28768,Ambalorao,grandidieri,-1,8.86,6.65,N,sandy soil,"olamboay, fatipatike, sekatse, zaha, sasave, lombiry",Y,"shallow, wrapping around 1/2 of the trunk",3,NA,Y,N,NA,0,N,N,N,N,N,Y,N,next to BF40
05/07/23,12:49 PM,KVP,BF42,-22.05453,43.28772,Ambalorao,grandidieri,1,7.65,6.1,N,sandy soil,"fatipatike, boy, zaha, laro, sakoa, sekatse",N,NA,0,NA,Y,N,NA,0,N,N,N,N,N,Y,N,
05/07/23,12:53 PM,KVP,BF43,-22.0544,43.28794,Ambalorao,grandidieri,3,6.8,4.9,N,rocks (limestone) around base of trunk,"boy, sakoa, komokomoke, taotao, sekatse, vantango, sono, tsipapolahe",Y,kely,1,NA,NA,Y,mare (patterns all over trunk),3,N,N,N,N,N,Y,N,
05/07/23,12:58 PM,KVP,BF44,-22.05423,43.28776,Ambalorao,grandidieri,4,5.16,3.84,N,sandy soil,"komokomoke, hazondrano, vantango, laro",Y,kely patch,1,Y,N,N,NA,0,N,N,N,N,N,Y,N,bark etching says M + M
05/07/23,1:02 PM,KVP,BF45,-22.05407,43.28797,Ambalorao,grandidieri,3,9.28,5.54,N,rocks (limestone) around trunk base,"sono, laro, komokomoke, hazondrano, lombiry, tsipapolahe",Y,kely,1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,one large branch poking out the side
05/07/23,1:07 PM,KVP,BF46,-22.05408,43.28806,Ambalorao,grandidieri,0,5.39,3.65,N,sandy soil,"lombiry, fatipatike, sekatse, komokomoke",Y?,tiny areas at base (questionable bark stripping),1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,
05/07/23,2:33 PM,KVP,BF47,-22.05416,43.28815,Ambalorao,grandidieri,-2,8.15,5.4,N,sandy soil,"komokomoke, fatipatike, sasave",Y,some bark + big portion (baobab chair),3,NA,NA,Y,kely at base (small patch),1,N,N,N,N,N,Y,N,"GPS coordinates taken between BF47 and BF48, next to BF48"
05/07/23,2:33 PM,KVP,BF48,-22.05416,43.28815,Ambalorao,grandidieri,-2,4.26,4.56,N,sandy soil,"komokomoke, fatipatike, sasave",Y,very small,1,NA,Y,Y,1/5 of trunk and roots,2,N,N,N,N,N,Y,N,"GPS coordinates taken between BF47 and BF48, next to BF47"
05/07/23,2:42 PM,KVP,BF49,-22.0542,43.28834,Ambalorao,grandidieri,-5,8.67,4.77,N,sandy soil,"fatipatike, laro, lombiry, komokomoke",Y,small chunk stripped at base,1,Y,Y,Y,"kely, small patches",1,N,N,N,N,N,Y,N,etchings made by tourists
05/07/23,2:45 PM,KVP,BF50,-22.05424,43.28824,Ambalorao,grandidieri,-1,4.5,5.4,N,sandy soil,"kantsakantsa, laro, komokomoke",Y,kely circular bark strip and vertical bark split,1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,
05/07/23,2:53 PM,KVP,BF51,-22.05426,43.28817,Ambalorao,grandidieri,6,13.44,6.15,N,sandy soil,"laro, komokomoke, bolobolo, zaha, tsipapolahe",Y,lots stripped from main trunk,3,NA,Y,Y,only on large branch (no bark stripped from main branch),2,N,N,N,N,N,Y,N,"bark stripped from main trunk, but no fungal patterns on main trunk, no bark stripped from side branch but side branch has fungal patterns, Mika took wood from side branch (marary), pics taken of tree and surroundings for Sean Hixon (evidence of vorondolo)"
05/07/23,2:59 PM,KVP,BF52,-22.05459,43.28825,Ambalorao,grandidieri,-2,11,6.22,N,sandy soil,"laro, komokomoke, zaha",Y,"kely (shallow, small area)",1,NA,Y,Y,kelykely,2,N,N,N,N,N,Y,N,"lichen on shade side and on bottom of branches, next to young baobab (BF53)"
05/07/23,2:59 PM,KVP,BF53,-22.05459,43.28825,Ambalorao,grandidieri,-2,0.35,2.12,N,sandy soil,"laro, komokomoke, zaha",N,NA,0,NA,N,N,NA,0,N,N,N,N,N,Y,N,"different color bark (grey, white, blue, green, and yellow), next to BF52"
05/07/23,3:09 PM,KVP,BF54,-22.05482,43.28831,Ambalorao,grandidieri,7,11.65,7.7,N,sandy soil,"maharoake, fatipatike, zaha, boy, laro, sekatse, tsipotike",Y,small (less than 1/20 of trunk),1,NA,N,Y,1/2 of trunk and 1/8 of trunk,3,N,N,N,N,N,Y,N,"lots of lichen, side with marary marks bumpy (other side smooth)"
05/07/23,3:15 PM,KVP,BF55,-22.0549,43.28821,Ambalorao,grandidieri,5,9,7.07,N,sandy soil,"laro, boy, tsipapolahe, kantsakantsa, sasave",Y,kely,1,NA,Y,Y,NA,2,N,N,N,N,N,Y,N,"bumpy bark next to fungal patterns, right next to BF56"
05/07/23,3:15 PM,KVP,BF56,-22.0549,43.28821,Ambalorao,grandidieri,5,7.47,4.8,N,sandy soil,"laro, boy, tsipapolahe, kantsakantsa, sasave",Y,v small and shallow bark taken from base,1,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,"lots of nests in branches and nearby ground, right next to BF55"
05/07/23,3:23 PM,KVP,BF57,-22.05477,43.28809,Ambalorao,grandidieri,5,12.38,5.74,N,sandy soil,"laro, komokomoke, boy",Y,"shallow, my height",2,NA,Y,Y,NA,2,N,N,N,N,N,Y,N,boy nearby is kely
05/07/23,3:33 PM,KVP,BF58,-22.05481,43.28794,Ambalorao,grandidieri,6,8.49,6.65,N,sandy soil,"fatipatike, komokomoke, vantango, laro, zaha, tsipapolahe, sekatse",N,NA,0,NA,Y,Y,NA,2,N,N,N,N,N,Y,N,"fatipatike nearby has fruits, large spherical knots growing off trunk -- bigger than fists (looks like places where branch grew off but snapped off, though not a clean snap)"
05/07/23,3:39 PM,KVP,BF59,-22.05485,43.28786,Ambalorao,grandidieri,6,10.1,6.6,N,sandy soil,"lombiry, sambaratoake, lairike, sasave, lisinalika",Y,stripped at base opposite from the discoloration,NA,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"discolored bark at base of trunk, lisinalika has red fruits"
05/07/23,3:43 PM,KVP,BF60,-22.05483,43.28769,Ambalorao,grandidieri,2,10.4,6.88,N,sandy soil,"zaha, boy, hazondrano, fatipatike, lisinalika, sasave, bolobolo, sambaratoake",Y?,possibly at base near marary marks,NA,Y,Y,Y,all down the trunk,3,N,N,N,N,N,Y,N,
06/07/23,9:09 AM,KVP,AK1,-22.05525,43.28203,Ambalorao,grandidieri,4,13.94,7,N,"sandy, some small rocks (limestone), fewer rocks than BF","komokomoke, boy, anarake, laro, sasave, sono, fatipatike, tsipapolahe, bozake",Y,small hollow hole (I can comfortably fit inside),3,NA,Y,N,NA,0,N,N,N,N,N,Y,Y,lichen
06/07/23,9:17 AM,KVP,AK2,-22.05536,43.28199,Ambalorao,grandidieri,10,6.65,5.06,N,"sandy, some small rocks (limestone), fewer rocks than BF","anarake, sasave, komokomoke, sono, fatipatike, bozake, boy, matsake",Y,shallow but large area (1/3 of trunk),2,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"smooth bark, cores perpendicular to each other, core 1 is 1.34m from ground and 0.49m of corer inserted into trunk, core 2 is 1.3m from ground and 0.55m of corer inserted, core 2 not as good/long (closer to baobab water storage)"
06/07/23,10:01 AM,KVP,AK3,-22.05532,43.28218,Ambalorao,grandidieri,1,15.38,8,N,"sandy, some small rocks (limestone), fewer rocks than BF","komokomoke, anarake, laro, fatipatike, boy, tsipapolahe, sono",N,NA,0,Y,Y,Y,kely (palm size patches),2,N,N,N,N,N,Y,N,bark etchings possibly more recent
06/07/23,10:16 AM,KVP,AK4,-22.05542,43.28291,Ambalorao,grandidieri,3,15.45,7,Y,"sandy, some small rocks (limestone), fewer rocks than BF","laro, boy, komokomoke, sambaratoake, bozake",Y?,possibly very shallow / small (if there is any bark stripped),1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"ant trail (red) on trunk, snake house under/near roots, bird egg on ground (nests on branches), okanga feather"
06/07/23,10:23 AM,KVP,AK5,-22.05554,43.28318,Ambalorao,grandidieri,3,6.55,5.82,N,"sandy, some small rocks (limestone), fewer rocks than BF","remotiny, fansiandambo, komokomoke, sekatse, laro, sono, fatipaty",Y,shallow but wide area,2,NA,Y,N,NA,0,N,N,N,N,N,Y,N,
06/07/23,10:29 AM,KVP,AK6,-22.05568,43.28336,Ambalorao,grandidieri,2,13.4,6.86,N,"sandy, some small rocks (limestone), fewer rocks than BF","laro, boy, tambazotse, kantsakantsa, tsipotike, sono",Y?,possible bark stripped near base (very little),1,NA,Y,Y,mare (all over trunk),3,N,N,N,N,N,Y,N,bumpy bark
06/07/23,10:37 AM,KVP,AK7,-22.05612,43.28383,Ambalorao,grandidieri,-3,11.9,5.7,N,"sandy, some small rocks (limestone), fewer rocks than BF, fossiliferous limestone (shells)","anakarake, laro, vantango, boy, sono, sakoa, zaha, lisinjere",Y,kely (shallow but large area),2,NA,Y,Y,mare (all over trunk),3,N,N,N,N,N,Y,N,
06/07/23,10:43 AM,KVP,AK8,-22.05641,43.28377,Ambalorao,grandidieri,3,5.88,4.84,N,"sandy, some small rocks (limestone), fewer rocks than BF","lisinjere, nonokalika, famata, sono, laro, sasave, sekatse, vantango",Y,"large gash around hip height, deep vertical gash",2,NA,Y,Y,kely (patch),1,N,N,N,N,N,Y,N,
06/07/23,10:48 AM,KVP,AK9,-22.0564,43.28411,Ambalorao,grandidieri,0,8.48,6.7,N,"sandy, some small rocks (limestone), fewer rocks than BF","sono, sekatse, laro, sasave, tsipapolahe, lisinjere, komokomoke",Y,baobab chair,3,NA,Y,Y,1/2 of trunk,3,N,N,N,N,N,Y,N,right next to AK10
06/07/23,10:48 AM,KVP,AK10,-22.0564,43.28411,Ambalorao,grandidieri,0,12.6,6.66,N,"sandy, some small rocks (limestone), fewer rocks than BF","sono, sekatse, laro, sasave, tsipapolahe, lisinjere, komokomoke, fanjihosy",Y,baobab chair,3,NA,N,Y,kely (patches),1,Y,N,N,N,N,Y,N,"right next to AK9, bumpy bark, lichen, roots of AK10 sneak under AK9, living inside: pepper spotted insect (kojijy)"
06/07/23,11:00 AM,KVP,AK11,-22.05648,43.2842,Ambalorao,grandidieri,1,12.27,6.8,N,"sandy, some small rocks (limestone), fewer rocks than BF","sekatse, kily, sasave, ranga, fatipatike, tsipapolahe, laro, komokomoke, boy",Y,shallow baobab chair,3,NA,Y,N,NA,0,N,N,N,N,N,Y,N,
06/07/23,11:03 AM,KVP,AK12,-22.05673,43.28436,Ambalorao,grandidieri,-1,9.23,6.3,N,"sandy, some small rocks (limestone), fewer rocks than BF","komokomoke, sono, laro, boy",Y?,possible vertical bark stripping,NA,Y,Y,N,NA,0,N,N,N,N,N,Y,N,next to AK13
06/07/23,11:03 AM,KVP,AK13,-22.05673,43.28436,Ambalorao,grandidieri,-1,6.41,5.92,N,"sandy, some small rocks (limestone), fewer rocks than BF","komokomoke, laro, sono, tsipapolahe",Y,small circles,1,NA,Y,Y,mare (all over trunk),3,N,N,N,N,N,Y,N,next to AK12
06/07/23,11:13 AM,KVP,AK14,-22.05684,43.28429,Ambalorao,grandidieri,-5,9,7.96,N,large chunks of limestone at base,"laro, sono, sasave, tsipapolahe, zaha, famata",Y,small patches,1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,next to AK15
06/07/23,11:13 AM,KVP,AK15,-22.05684,43.28429,Ambalorao,grandidieri,-5,7.8,5.4,N,large chunks of limestone at base,"laro, sono, sasave, tsipapolahe, zaha, famata",N,NA,0,NA,Y,Y,1/2 of trunk,3,N,N,N,N,N,Y,N,next to AK14
06/07/23,11:23 AM,KVP,AK16,-22.05691,43.25434,Ambalorao,grandidieri,-3,6.85,5.25,N,large chunks of limestone at base,"komokomoke, sasave, laro, sono, tsipapolahe, boy, anakarake",Y,kely,1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,lichen
06/07/23,11:29 AM,KVP,AK17,-22.05727,43.28415,Ambalorao,grandidieri,0,7.9,5.7,N,large chunks of limestone at base,"sono, komokomoke, boy, sasave, kily",Y,deeper,2,NA,Y,Y,palm size patches,2,N,N,N,N,N,Y,N,bibilava nearby
06/07/23,11:33 AM,KVP,AK18,-22.05733,43.28427,Ambalorao,grandidieri,-2,7.26,5.82,N,"sandy, some small rocks (limestone), fewer rocks than BF","boy, sasave, sono, laro, sambaratoake, bozake, kililo, sekatse",Y,kely (small holes),1,NA,Y,Y,kely (palm size patches),2,N,N,N,N,N,Y,N,
06/07/23,11:42 AM,KVP,AK19,-22.058,43.28424,Ambalorao,grandidieri,-6,13.16,6.13,N,"sandy, some small rocks (limestone), fewer rocks than BF","hazondrano, sasave, laro, sono, tsipapolahe, bozake, sekatse, lombiry, boy, kantsakantsa",N,NA,0,NA,Y,NA,NA,0,N,N,N,N,N,Y,N,"bumpy bark, a bit of bark discolored near base"
06/07/23,12:07 PM,KVP,AK20,-22.05826,43.284,Ambalorao,grandidieri,-3,7.55,6.62,N,"sandy, some small rocks (limestone), fewer rocks than BF","sasave, boy, kantsakantsa, laro, sono, kilily, fatipaty, anakarake, lombiry, bolobolo",Y,kely (shallow divots near base) + deeper hole (forearm in height),3,NA,Y,Y,mare (1/2 - 2/3 of bark),3,N,N,N,N,N,Y,N,next to baby baobab (AK21)
06/07/23,12:07 PM,KVP,AK21,-22.05826,43.284,Ambalorao,grandidieri,-3,0.64,1.5,N,"sandy, some small rocks (limestone), fewer rocks than BF","sekatse, sono, tsingilo",N,NA,0,N,N,N,NA,0,N,N,N,N,N,Y,N,next to AK20
06/07/23,12:20 PM,KVP,AK22,-22.0582,43.28344,Ambalorao,grandidieri,5,7.55,4,N,"sandy, some small rocks (limestone), fewer rocks than BF","nonokalika, sambaratoake, fandrihosy, vantango, fatipatike, ragidrantsa",Y,small circular holes (depth = 1/2 of forearm),3,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,
06/07/23,12:28 PM,KVP,AK23,-22.05846,43.28394,Ambalorao,grandidieri,3,7.7,6.49,N,"sandy, some small rocks (limestone), fewer rocks than BF","sono, famata, laro, anakarake, fandrihosy, hazombalala, sasave, lombiry",Y,kely,1,NA,Y,Y,kely (near base),1,N,N,N,N,N,Y,N,"smooth bark, lichen on branch, only near dead baobabs (not alive baobabs)"
06/07/23,NA,KVP,NA - AK MATY1,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"sandy, some small rocks (limestone), fewer rocks than BF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AK23 and other dead baobabs"
06/07/23,NA,KVP,NA - AK MATY2,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"sandy, some small rocks (limestone), fewer rocks than BF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AK23 and other dead baobabs"
06/07/23,NA,KVP,NA - AK MATY3,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"sandy, some small rocks (limestone), fewer rocks than BF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AK23 and other dead baobabs"
06/07/23,NA,KVP,NA - AK MATY4,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"sandy, some small rocks (limestone), fewer rocks than BF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AK23 and other dead baobabs"
06/07/23,12:36 PM,KVP,AK24,-22.05864,43.28352,Ambalorao,grandidieri,2,6.25,5.42,N,"sandy, some small rocks (limestone), fewer rocks than BF","sono, bozake, lisinjere, kantsakantsa, boy, sekatse, famata, sambaratoake, nonokalika, sasave, vantango",Y,kely,1,NA,Y,N,NA,0,N,N,N,N,N,Y,N,"lichen on branches, branches droop down like hair, near AK25"
06/07/23,12:36 PM,KVP,AK25,-22.05864,43.28352,Ambalorao,grandidieri,2,5.72,4.05,N,"sandy, some small rocks (limestone), fewer rocks than BF","sono, bozake, lisinjere, kantsakantsa, boy, sekatse, famata, sambaratoake, nonokalika, sasave, vantango, famata",Y,kely patches,1,NA,Y,Y,NA,2,N,N,N,N,N,Y,N,"lichen on branch underside, leaning, next to AK24, famata nearby is baby famata"
06/07/23,12:45 PM,KVP,AK26,-22.05868,43.28343,Ambalorao,grandidieri,2,3.3,4.7,N,"sandy, some small rocks (limestone), fewer rocks than BF","zaha, boy, sekatse, sasave, nonokalika, famata, sono, kilily",Y,at base,NA,NA,Y,N,NA,0,N,N,N,N,N,Y,N,
06/07/23,12:49 PM,KVP,AK27,-22.05862,43.28338,Ambalorao,grandidieri,3,5.8,3.89,N,"sandy, some small rocks (limestone), fewer rocks than BF","tsipapolahe, sono, laro, sasave, zaha, hazondrano, boy, famata, sambaratoake",N,NA,0,NA,Y,Y,mare,3,N,N,N,N,N,Y,N,
06/07/23,1:09 PM,KVP,AK28,-22.05886,43.28322,Ambalorao,grandidieri,6,9.46,5.56,N,"sandy, some small rocks (limestone), fewer rocks than BF","toitoy, sambaratoake, boy, sasave, maintimpo, lisinjere, satsasatsa, sono, laro, anakarake",Y,kely (vertical),1,NA,Y,Y,mare (all over trunk),3,N,N,N,N,N,Y,N,
06/07/23,NA,KVP,NA - AK,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"sandy, some small rocks (limestone), fewer rocks than BF",NA,NA,NA,NA,NA,NA,Y,NA,2,N,N,N,N,N,Y,N,recorded as a note -- within sightline of AK28 but not properly surveyed because no good path to it
06/07/23,1:18 PM,KVP,AK29,-22.05882,43.28297,Ambalorao,grandidieri,3,1.78,3.92,N,"sandy, some small rocks (limestone), fewer rocks than BF","sasave, volofoty, vantango, famata, lisinjere, sono, anakarake, nonokalika",N,NA,0,N,N,N,NA,0,N,N,N,N,N,Y,N,
06/07/23,1:23 PM,KVP,AK30,-22.05868,43.28294,Ambalorao,grandidieri,3,5.76,4.26,N,"sandy, some small rocks (limestone), fewer rocks than BF","regedrantse, sambaratoake, nonokalika, famata, bozake, hazompasy",Y,small circular patches,1,NA,Y,N,NA,0,N,N,N,N,N,N,N,malama
06/07/23,1:30 PM,KVP,AK31,-22.05911,43.28278,Ambalorao,grandidieri,5,10.1,6.97,N,"sandy, some small rocks (limestone), fewer rocks than BF","bozake, kilily, komokomoke, zaha, lisinjere, maintimpo, boy, sono, famata, tsipapolahe, katsamantse",Y,large areas but shallow (my height and wingspan),2,NA,Y,Y,kely (very small patches),1,N,N,N,N,N,Y,N,next to AK32
06/07/23,1:30 PM,KVP,AK32,-22.05911,43.28278,Ambalorao,grandidieri,5,8.3,NA,NA,"sandy, some small rocks (limestone), fewer rocks than BF","bozake, kilily, komokomoke, zaha, lisinjere, maintimpo, boy, sono, famata, tsipapolahe, katsamantse",Y,large (similar to AK31),2,NA,Y,Y,kely,1,N,N,N,N,N,Y,N,"lichen, next to AK31"
06/07/23,1:37 PM,KVP,AK33,-22.05926,43.28279,Ambalorao,grandidieri,6,6.84,5.16,N,"sandy, some small rocks (limestone), fewer rocks than BF","sono, lisinjere, vofota, zaha, fandriandambo, komokomoke, famata, sono, kily, sasave, tsipapolahe",Y,small bark strip + baobab chair,3,NA,Y,Y,small patches along bark,1,N,N,N,N,N,Y,N,
06/07/23,1:46 PM,KVP,AK34,-22.05937,43.28329,Ambalorao,grandidieri,1,10.26,7.42,N,"sandy, some small rocks (limestone), fewer rocks than BF","laro, komokomoke, sono, toitoy, boy, bolobolo, sekatse",Y,large (height patch),2,NA,Y,Y,mare,3,N,N,N,N,N,Y,N,"bark peeling off from fire (like sweet potato), fire evidence (large ash pit nearby), lichen on bark underside, near AK35, evidence of bird (sakomdara) in hole"
06/07/23,NA,KVP,NA - AK MATY5,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"sandy, some small rocks (limestone), fewer rocks than BF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AK34, near fire, there may be more than one dead baobab in this area but hard to tell"
06/07/23,1:46 PM,KVP,AK35,-22.05937,43.28329,Ambalorao,grandidieri,1,0.9,4,Y,"sandy, some small rocks (limestone), fewer rocks than BF","laro, sono",Y,2/3 of trunk (deepish),3,NA,N,N,NA,0,N,N,N,N,N,Y,N,"malama, near AK34"
06/07/23,1:51 PM,KVP,AK36,-22.05949,43.28332,Ambalorao,grandidieri,2,7.02,6.74,N,"sandy, some small rocks (limestone), fewer rocks than BF","zaha, sono, laro, sekatse, komokomoke",Y,deep chunk / hole -- forearm depth near base,3,NA,NA,N,NA,0,N,N,N,N,N,Y,N,malama
06/07/23,NA,KVP,NA - AK MATY6,NA,NA,Ambalorao,grandidieri,NA,NA,NA,NA,"sandy, some small rocks (limestone), fewer rocks than BF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,Y,NA,"maty, seen near AK36"
06/07/23,2:48 PM,KVP,AK37,-22.05907,43.28412,Ambalorao,grandidieri,3,13.2,6.28,N,"sandy, some small rocks (limestone), fewer rocks than BF","kilily, laro, sekatse, sono, boy, lombiry, zaha, tsipoty, bozake",Y,shallow near base,1,Y,Y,Y,1/5 of bark x 3/4 of trunk,3,N,N,N,N,N,Y,N,"lichen, etching says ""Andrenalamaro kele"""
